age,workclass,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income,occupation_grouped,native_region
39,State-gov,13,Never-married,Not-in-family,White,Male,2174,0,40.0,<=50K,Clerical,United-States
50,Self-emp-not-inc,13,Married-civ-spouse,Husband,White,Male,0,0,32.5,<=50K,Executive,United-States
38,Private,9,Divorced,Not-in-family,White,Male,0,0,40.0,<=50K,Unskilled Labor,United-States
53,Private,7,Married-civ-spouse,Husband,Black,Male,0,0,40.0,<=50K,Unskilled Labor,United-States
28,Private,13,Married-civ-spouse,Wife,Black,Female,0,0,40.0,<=50K,Professional,Latin America
37,Private,14,Married-civ-spouse,Wife,White,Female,0,0,40.0,<=50K,Executive,United-States
49,Private,5,Married-spouse-absent,Not-in-family,Black,Female,0,0,32.5,<=50K,Service,Caribbean
52,Self-emp-not-inc,9,Married-civ-spouse,Husband,White,Male,0,0,45.0,>50K,Executive,United-States
31,Private,14,Never-married,Not-in-family,White,Female,14084,0,50.0,>50K,Professional,United-States
42,Private,13,Married-civ-spouse,Husband,White,Male,5178,0,40.0,>50K,Executive,United-States
37,Private,10,Married-civ-spouse,Husband,Black,Male,0,0,52.5,>50K,Executive,United-States
30,State-gov,13,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,40.0,>50K,Professional,Asia
23,Private,13,Never-married,Own-child,White,Female,0,0,32.5,<=50K,Clerical,United-States
32,Private,12,Never-married,Not-in-family,Black,Male,0,0,50.0,<=50K,Sales,United-States
40,Private,11,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,40.0,>50K,Skilled Labor,United-States
34,Private,4,Married-civ-spouse,Husband,Amer-Indian-Eskimo,Male,0,0,45.0,<=50K,Unskilled Labor,Latin America
25,Self-emp-not-inc,9,Never-married,Own-child,White,Male,0,0,35.0,<=50K,Unskilled Labor,United-States
32,Private,9,Never-married,Unmarried,White,Male,0,0,40.0,<=50K,Unskilled Labor,United-States
38,Private,7,Married-civ-spouse,Husband,White,Male,0,0,50.0,<=50K,Sales,United-States
43,Self-emp-not-inc,14,Divorced,Unmarried,White,Female,0,0,45.0,>50K,Executive,United-States
40,Private,16,Married-civ-spouse,Husband,White,Male,0,0,52.5,>50K,Professional,United-States
54,Private,9,Separated,Unmarried,Black,Female,0,0,32.5,<=50K,Service,United-States
35,Federal-gov,5,Married-civ-spouse,Husband,Black,Male,0,0,40.0,<=50K,Unskilled Labor,United-States
43,Private,7,Married-civ-spouse,Husband,White,Male,0,2042,40.0,<=50K,Unskilled Labor,United-States
59,Private,9,Divorced,Unmarried,White,Female,0,0,40.0,<=50K,Professional,United-States
56,Local-gov,13,Married-civ-spouse,Husband,White,Male,0,0,40.0,>50K,Professional,United-States
19,Private,9,Never-married,Own-child,White,Male,0,0,40.0,<=50K,Skilled Labor,United-States
54,Private,10,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,52.5,>50K,Professional,Caribbean
39,Private,9,Divorced,Not-in-family,White,Male,0,0,52.5,<=50K,Executive,United-States
49,Private,9,Married-civ-spouse,Husband,White,Male,0,0,40.0,<=50K,Skilled Labor,United-States
23,Local-gov,12,Never-married,Not-in-family,White,Male,0,0,52.0,<=50K,Service,United-States
20,Private,10,Never-married,Own-child,Black,Male,0,0,44.0,<=50K,Sales,United-States
45,Private,13,Divorced,Own-child,White,Male,0,1408,40.0,<=50K,Executive,United-States
30,Federal-gov,10,Married-civ-spouse,Own-child,White,Male,0,0,40.0,<=50K,Clerical,United-States
22,State-gov,10,Married-civ-spouse,Husband,Black,Male,0,0,32.5,<=50K,Service,United-States
48,Private,7,Never-married,Unmarried,White,Male,0,0,40.0,<=50K,Unskilled Labor,Caribbean
21,Private,10,Never-married,Own-child,White,Male,0,0,40.0,<=50K,Unskilled Labor,United-States
19,Private,9,Married-AF-spouse,Wife,White,Female,0,0,32.5,<=50K,Clerical,United-States
31,Private,10,Married-civ-spouse,Husband,White,Male,0,0,38.0,>50K,Sales,United-States
48,Self-emp-not-inc,12,Married-civ-spouse,Husband,White,Male,0,0,40.0,<=50K,Professional,United-States
31,Private,5,Married-civ-spouse,Husband,White,Male,0,0,43.0,<=50K,Unskilled Labor,United-States
53,Self-emp-not-inc,13,Married-civ-spouse,Husband,White,Male,0,0,40.0,<=50K,Professional,United-States
24,Private,13,Married-civ-spouse,Husband,White,Male,0,0,50.0,<=50K,Professional,United-States
49,Private,9,Separated,Unmarried,White,Female,0,0,40.0,<=50K,Clerical,United-States
25,Private,9,Never-married,Not-in-family,White,Male,0,0,35.0,<=50K,Unskilled Labor,United-States
57,Federal-gov,13,Married-civ-spouse,Husband,Black,Male,0,0,40.0,>50K,Professional,United-States
53,Private,9,Married-civ-spouse,Husband,White,Male,0,0,38.0,<=50K,Unskilled Labor,United-States
44,Private,14,Divorced,Unmarried,White,Female,0,0,40.0,<=50K,Executive,United-States
41,State-gov,11,Married-civ-spouse,Husband,White,Male,0,0,40.0,<=50K,Skilled Labor,United-States
29,Private,11,Never-married,Not-in-family,White,Male,0,0,43.0,<=50K,Professional,United-States
25,Private,10,Married-civ-spouse,Wife,Other,Female,0,0,40.0,<=50K,Executive,United-States
18,Private,9,Never-married,Own-child,White,Female,0,0,32.5,<=50K,Service,United-States
